section,category,description,date,metric,value
Hospital Data,Hospital Level,Discharges (Daily),2020-10-03,Patients Discharged or Transferred Within the Last 24 Hours,33
Hospital Data,Hospital Level,Discharges (Daily),2020-10-03,7-Day Average of Patients Discharged or Transferred Within the Last 24 Hours,26
Hospital Data,Hospital Level,Discharges (Daily),2020-10-04,Patients Discharged or Transferred Within the Last 24 Hours,26
Hospital Data,Hospital Level,Discharges (Daily),2020-10-04,7-Day Average of Patients Discharged or Transferred Within the Last 24 Hours,28
Hospital Data,Hospital Level,Discharges (Daily),2020-10-05,Patients Discharged or Transferred Within the Last 24 Hours,20
Hospital Data,Hospital Level,Discharges (Daily),2020-10-05,7-Day Average of Patients Discharged or Transferred Within the Last 24 Hours,27
Hospital Data,Hospital Level,Discharges (Daily),2020-10-06,Patients Discharged or Transferred Within the Last 24 Hours,41
Hospital Data,Hospital Level,Discharges (Daily),2020-10-06,7-Day Average of Patients Discharged or Transferred Within the Last 24 Hours,28
Hospital Data,Hospital Level,Discharges (Daily),2020-10-07,Patients Discharged or Transferred Within the Last 24 Hours,31
Hospital Data,Hospital Level,Discharges (Daily),2020-10-07,7-Day Average of Patients Discharged or Transferred Within the Last 24 Hours,28
Hospital Data,Hospital Level,Discharges (Daily),2020-10-08,Patients Discharged or Transferred Within the Last 24 Hours,29
Hospital Data,Hospital Level,Discharges (Daily),2020-10-08,7-Day Average of Patients Discharged or Transferred Within the Last 24 Hours,29
Hospital Data,Hospital Level,Discharges (Daily),2020-10-09,Patients Discharged or Transferred Within the Last 24 Hours,36
Hospital Data,Hospital Level,Discharges (Daily),2020-10-09,7-Day Average of Patients Discharged or Transferred Within the Last 24 Hours,31
Hospital Data,Hospital Level,Discharges (Daily),2020-10-10,Patients Discharged or Transferred Within the Last 24 Hours,22
Hospital Data,Hospital Level,Discharges (Daily),2020-10-10,7-Day Average of Patients Discharged or Transferred Within the Last 24 Hours,29
Hospital Data,Hospital Level,Discharges (Daily),2020-10-11,Patients Discharged or Transferred Within the Last 24 Hours,21
Hospital Data,Hospital Level,Discharges (Daily),2020-10-11,7-Day Average of Patients Discharged or Transferred Within the Last 24 Hours,29
Hospital Data,Hospital Level,Discharges (Daily),2020-10-12,Patients Discharged or Transferred Within the Last 24 Hours,34
Hospital Data,Hospital Level,Discharges (Daily),2020-10-12,7-Day Average of Patients Discharged or Transferred Within the Last 24 Hours,31
Hospital Data,Hospital Level,Discharges (Daily),2020-10-13,Patients Discharged or Transferred Within the Last 24 Hours,53
Hospital Data,Hospital Level,Discharges (Daily),2020-10-13,7-Day Average of Patients Discharged or Transferred Within the Last 24 Hours,32
Hospital Data,Hospital Level,Discharges (Daily),2020-10-14,Patients Discharged or Transferred Within the Last 24 Hours,46
Hospital Data,Hospital Level,Discharges (Daily),2020-10-14,7-Day Average of Patients Discharged or Transferred Within the Last 24 Hours,34
Hospital Data,Hospital Level,Discharges (Weekly),2020-04-12,Number Patients Discharged or Transferred Within the Last 24 Hours,1392
Hospital Data,Hospital Level,Discharges (Weekly),2020-04-19,Number Patients Discharged or Transferred Within the Last 24 Hours,694
Hospital Data,Hospital Level,Discharges (Weekly),2020-04-19,Percent Change,-0.5
Hospital Data,Hospital Level,Discharges (Weekly),2020-04-26,Number Patients Discharged or Transferred Within the Last 24 Hours,467
Hospital Data,Hospital Level,Discharges (Weekly),2020-04-26,Percent Change,-0.33
Hospital Data,Hospital Level,Discharges (Weekly),2020-05-03,Number Patients Discharged or Transferred Within the Last 24 Hours,421
Hospital Data,Hospital Level,Discharges (Weekly),2020-05-03,Percent Change,-0.1
Hospital Data,Hospital Level,Discharges (Weekly),2020-05-10,Number Patients Discharged or Transferred Within the Last 24 Hours,338
Hospital Data,Hospital Level,Discharges (Weekly),2020-05-10,Percent Change,-0.2
Hospital Data,Hospital Level,Discharges (Weekly),2020-05-17,Number Patients Discharged or Transferred Within the Last 24 Hours,300
Hospital Data,Hospital Level,Discharges (Weekly),2020-05-17,Percent Change,-0.11
Hospital Data,Hospital Level,Discharges (Weekly),2020-05-24,Number Patients Discharged or Transferred Within the Last 24 Hours,247
Hospital Data,Hospital Level,Discharges (Weekly),2020-05-24,Percent Change,-0.18
Hospital Data,Hospital Level,Discharges (Weekly),2020-05-31,Number Patients Discharged or Transferred Within the Last 24 Hours,172
Hospital Data,Hospital Level,Discharges (Weekly),2020-05-31,Percent Change,-0.3
Hospital Data,Hospital Level,Discharges (Weekly),2020-06-07,Number Patients Discharged or Transferred Within the Last 24 Hours,129
Hospital Data,Hospital Level,Discharges (Weekly),2020-06-07,Percent Change,-0.25
Hospital Data,Hospital Level,Discharges (Weekly),2020-06-14,Number Patients Discharged or Transferred Within the Last 24 Hours,136
Hospital Data,Hospital Level,Discharges (Weekly),2020-06-14,Percent Change,0.05
Hospital Data,Hospital Level,Discharges (Weekly),2020-06-21,Number Patients Discharged or Transferred Within the Last 24 Hours,134
Hospital Data,Hospital Level,Discharges (Weekly),2020-06-21,Percent Change,-0.01
Hospital Data,Hospital Level,Discharges (Weekly),2020-06-28,Number Patients Discharged or Transferred Within the Last 24 Hours,129
Hospital Data,Hospital Level,Discharges (Weekly),2020-06-28,Percent Change,-0.04
Hospital Data,Hospital Level,Discharges (Weekly),2020-07-05,Number Patients Discharged or Transferred Within the Last 24 Hours,163
Hospital Data,Hospital Level,Discharges (Weekly),2020-07-05,Percent Change,0.26
Hospital Data,Hospital Level,Discharges (Weekly),2020-07-12,Number Patients Discharged or Transferred Within the Last 24 Hours,199
Hospital Data,Hospital Level,Discharges (Weekly),2020-07-12,Percent Change,0.22
Hospital Data,Hospital Level,Discharges (Weekly),2020-07-19,Number Patients Discharged or Transferred Within the Last 24 Hours,209
Hospital Data,Hospital Level,Discharges (Weekly),2020-07-19,Percent Change,0.05
Hospital Data,Hospital Level,Discharges (Weekly),2020-07-26,Number Patients Discharged or Transferred Within the Last 24 Hours,201
Hospital Data,Hospital Level,Discharges (Weekly),2020-07-26,Percent Change,-0.04
Hospital Data,Hospital Level,Discharges (Weekly),2020-08-02,Number Patients Discharged or Transferred Within the Last 24 Hours,173
Hospital Data,Hospital Level,Discharges (Weekly),2020-08-02,Percent Change,-0.14
Hospital Data,Hospital Level,Discharges (Weekly),2020-08-09,Number Patients Discharged or Transferred Within the Last 24 Hours,153
Hospital Data,Hospital Level,Discharges (Weekly),2020-08-09,Percent Change,-0.12
Hospital Data,Hospital Level,Discharges (Weekly),2020-08-16,Number Patients Discharged or Transferred Within the Last 24 Hours,144
Hospital Data,Hospital Level,Discharges (Weekly),2020-08-16,Percent Change,-0.06
Hospital Data,Hospital Level,Discharges (Weekly),2020-08-23,Number Patients Discharged or Transferred Within the Last 24 Hours,129
Hospital Data,Hospital Level,Discharges (Weekly),2020-08-23,Percent Change,-0.1
Hospital Data,Hospital Level,Discharges (Weekly),2020-08-30,Number Patients Discharged or Transferred Within the Last 24 Hours,116
Hospital Data,Hospital Level,Discharges (Weekly),2020-08-30,Percent Change,-0.1
Hospital Data,Hospital Level,Discharges (Weekly),2020-09-06,Number Patients Discharged or Transferred Within the Last 24 Hours,107
Hospital Data,Hospital Level,Discharges (Weekly),2020-09-06,Percent Change,-0.08
Hospital Data,Hospital Level,Discharges (Weekly),2020-09-13,Number Patients Discharged or Transferred Within the Last 24 Hours,118
Hospital Data,Hospital Level,Discharges (Weekly),2020-09-13,Percent Change,0.1
Hospital Data,Hospital Level,Discharges (Weekly),2020-09-20,Number Patients Discharged or Transferred Within the Last 24 Hours,151
Hospital Data,Hospital Level,Discharges (Weekly),2020-09-20,Percent Change,0.28
Hospital Data,Hospital Level,Discharges (Weekly),2020-09-27,Number Patients Discharged or Transferred Within the Last 24 Hours,185
Hospital Data,Hospital Level,Discharges (Weekly),2020-09-27,Percent Change,0.23
Hospital Data,Hospital Level,Discharges (Weekly),2020-10-04,Number Patients Discharged or Transferred Within the Last 24 Hours,205
Hospital Data,Hospital Level,Discharges (Weekly),2020-10-04,Percent Change,0.11
Hospital Data,Hospital Level,Discharges (Weekly),2020-10-11,Number Patients Discharged or Transferred Within the Last 24 Hours,154
Hospital Data,Hospital Level,Discharges (Weekly),2020-10-11,Percent Change,-0.25
Hospital Data,Patient Level,Summary,NA,Facilities Reporting Patient Data,0.63
Hospital Data,Patient Level,Summary,NA,Hospitalized Patients With Data,0.91
Hospital Data,Patient Level,Summary,NA,Patients Requiring Invasive Ventilators,0.19
Hospital Data,Patient Level,Summary,NA,Admitted to the ICU,0.33
Hospital Data,Patient Level,Summary,NA,ICU Patients Died,0.17
Hospital Data,Patient Level,Summary,NA,Non-ICU Patients Died,0.07
Hospital Data,Patient Level,Summary,NA,Average Days Hospitalized Before Discharge,9
Hospital Data,Patient Level,Summary,NA,With a Reported Positive COVID-19 Test,0.93
Hospital Data,Patient Level,Hospital Admissions by Age Group,NA,0-9 Years,0.0117
Hospital Data,Patient Level,Hospital Admissions by Age Group,NA,10-19 Years,0.0194
Hospital Data,Patient Level,Hospital Admissions by Age Group,NA,20-29 Years,0.0712
Hospital Data,Patient Level,Hospital Admissions by Age Group,NA,30-39 Years,0.0932
Hospital Data,Patient Level,Hospital Admissions by Age Group,NA,40-49 Years,0.1326
Hospital Data,Patient Level,Hospital Admissions by Age Group,NA,50-59 Years,0.1926
Hospital Data,Patient Level,Hospital Admissions by Age Group,NA,60-69 Years,0.1893
Hospital Data,Patient Level,Hospital Admissions by Age Group,NA,70-79 Years,0.1554
Hospital Data,Patient Level,Hospital Admissions by Age Group,NA,80+ Years,0.1337
Hospital Data,Patient Level,Hospital Admissions by Age Group,NA,NA Years,0.0011
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-03-01,20-39,0.25
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-03-01,40-59,0.5
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-03-01,80+,0.25
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-03-08,20-39,0.0588
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-03-08,40-59,0.2941
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-03-08,60-79,0.4902
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-03-08,80+,0.1569
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-03-15,20-39,0.1134
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-03-15,40-59,0.3563
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-03-15,60-79,0.3887
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-03-15,80+,0.1417
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-03-22,0-19,0.011
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-03-22,20-39,0.1144
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-03-22,40-59,0.3197
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-03-22,60-79,0.406
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-03-22,80+,0.1489
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-03-29,0-19,0.0164
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-03-29,20-39,0.1296
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-03-29,40-59,0.322
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-03-29,60-79,0.3929
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-03-29,80+,0.1392
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-04-05,0-19,0.0149
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-04-05,20-39,0.1254
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-04-05,40-59,0.3234
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-04-05,60-79,0.3795
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-04-05,80+,0.1568
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-04-12,0-19,0.0136
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-04-12,20-39,0.1528
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-04-12,40-59,0.3226
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-04-12,60-79,0.3599
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-04-12,80+,0.1511
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-04-19,0-19,0.0267
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-04-19,20-39,0.1603
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-04-19,40-59,0.3073
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-04-19,60-79,0.355
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-04-19,80+,0.1508
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-04-26,0-19,0.0181
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-04-26,20-39,0.1558
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-04-26,40-59,0.3138
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-04-26,60-79,0.3521
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-04-26,80+,0.1603
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-05-03,0-19,0.0372
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-05-03,20-39,0.1455
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-05-03,40-59,0.3406
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-05-03,60-79,0.3344
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-05-03,80+,0.1424
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-05-10,0-19,0.0302
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-05-10,20-39,0.1913
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-05-10,40-59,0.3289
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-05-10,60-79,0.3154
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-05-10,80+,0.1342
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-05-17,0-19,0.0516
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-05-17,20-39,0.1865
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-05-17,40-59,0.3532
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-05-17,60-79,0.2698
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-05-17,80+,0.1389
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-05-24,0-19,0.052
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-05-24,20-39,0.1965
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-05-24,40-59,0.3699
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-05-24,60-79,0.2543
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-05-24,80+,0.1272
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-05-31,0-19,0.0673
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-05-31,20-39,0.2019
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-05-31,40-59,0.2788
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-05-31,60-79,0.3269
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-05-31,80+,0.125
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-06-07,0-19,0.0341
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-06-07,20-39,0.2727
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-06-07,40-59,0.3295
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-06-07,60-79,0.2614
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-06-07,80+,0.1023
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-06-14,0-19,0.0659
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-06-14,20-39,0.2418
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-06-14,40-59,0.3626
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-06-14,60-79,0.2527
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-06-14,80+,0.0769
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-06-21,0-19,0.0882
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-06-21,20-39,0.2745
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-06-21,40-59,0.3431
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-06-21,60-79,0.2353
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-06-21,80+,0.0588
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-06-28,0-19,0.0488
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-06-28,20-39,0.187
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-06-28,40-59,0.3577
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-06-28,60-79,0.2846
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-06-28,80+,0.122
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-07-05,0-19,0.052
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-07-05,20-39,0.1734
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-07-05,40-59,0.3584
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-07-05,60-79,0.3064
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-07-05,80+,0.1098
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-07-12,0-19,0.0369
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-07-12,20-39,0.2258
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-07-12,40-59,0.2949
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-07-12,60-79,0.3272
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-07-12,80+,0.1152
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-07-19,0-19,0.022
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-07-19,20-39,0.2308
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-07-19,40-59,0.3352
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-07-19,60-79,0.2967
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-07-19,80+,0.1154
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-07-26,0-19,0.0323
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-07-26,20-39,0.2774
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-07-26,40-59,0.3161
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-07-26,60-79,0.2968
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-07-26,80+,0.0774
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-08-02,0-19,0.0465
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-08-02,20-39,0.1783
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-08-02,40-59,0.3566
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-08-02,60-79,0.3643
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-08-02,80+,0.0543
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-08-09,0-19,0.0435
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-08-09,20-39,0.1826
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-08-09,40-59,0.3913
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-08-09,60-79,0.313
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-08-09,80+,0.0696
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-08-16,0-19,0.0777
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-08-16,20-39,0.1942
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-08-16,40-59,0.2621
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-08-16,60-79,0.3301
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-08-16,80+,0.1359
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-08-23,0-19,0.0588
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-08-23,20-39,0.1961
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-08-23,40-59,0.3529
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-08-23,60-79,0.2745
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-08-23,80+,0.1176
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-08-30,0-19,0.037
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-08-30,20-39,0.1759
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-08-30,40-59,0.3148
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-08-30,60-79,0.3426
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-08-30,80+,0.1204
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-08-30,Unknown,0.0093
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-09-06,0-19,0.1171
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-09-06,20-39,0.1351
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-09-06,40-59,0.3423
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-09-06,60-79,0.3063
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-09-06,80+,0.0991
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-09-13,0-19,0.0476
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-09-13,20-39,0.127
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-09-13,40-59,0.3333
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-09-13,60-79,0.3492
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-09-13,80+,0.1429
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-09-20,0-19,0.0573
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-09-20,20-39,0.2293
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-09-20,40-59,0.2293
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-09-20,60-79,0.3758
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-09-20,80+,0.1083
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-09-27,0-19,0.0426
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-09-27,20-39,0.1702
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-09-27,40-59,0.2979
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-09-27,60-79,0.3085
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-09-27,80+,0.1543
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-09-27,Unknown,0.0266
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-10-04,0-19,0.0263
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-10-04,20-39,0.1798
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-10-04,40-59,0.3202
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-10-04,60-79,0.3596
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-10-04,80+,0.1053
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-10-04,Unknown,0.0088
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-10-11,0-19,0.0294
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-10-11,20-39,0.2059
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-10-11,40-59,0.3235
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-10-11,60-79,0.2647
Hospital Data,Patient Level,Hospital Admissions by Age Group (weekly),2020-10-11,80+,0.1765
Hospital Data,Patient Level,Hospital Admissions by Sex,NA,Female,0.4723
Hospital Data,Patient Level,Hospital Admissions by Sex,NA,Male,0.5276
Hospital Data,Patient Level,Hospital Admissions by Sex (weekly),2020-03-01,Female,0.75
Hospital Data,Patient Level,Hospital Admissions by Sex (weekly),2020-03-01,Male,0.25
Hospital Data,Patient Level,Hospital Admissions by Sex (weekly),2020-03-08,Female,0.5294
Hospital Data,Patient Level,Hospital Admissions by Sex (weekly),2020-03-08,Male,0.4706
Hospital Data,Patient Level,Hospital Admissions by Sex (weekly),2020-03-15,Female,0.4372
Hospital Data,Patient Level,Hospital Admissions by Sex (weekly),2020-03-15,Male,0.5628
Hospital Data,Patient Level,Hospital Admissions by Sex (weekly),2020-03-22,Female,0.4349
Hospital Data,Patient Level,Hospital Admissions by Sex (weekly),2020-03-22,Male,0.5651
Hospital Data,Patient Level,Hospital Admissions by Sex (weekly),2020-03-29,Female,0.4502
Hospital Data,Patient Level,Hospital Admissions by Sex (weekly),2020-03-29,Male,0.5498
Hospital Data,Patient Level,Hospital Admissions by Sex (weekly),2020-04-05,Female,0.4158
Hospital Data,Patient Level,Hospital Admissions by Sex (weekly),2020-04-05,Male,0.5842
Hospital Data,Patient Level,Hospital Admissions by Sex (weekly),2020-04-12,Female,0.4635
Hospital Data,Patient Level,Hospital Admissions by Sex (weekly),2020-04-12,Male,0.5365
Hospital Data,Patient Level,Hospital Admissions by Sex (weekly),2020-04-19,Female,0.5019
Hospital Data,Patient Level,Hospital Admissions by Sex (weekly),2020-04-19,Male,0.4981
Hospital Data,Patient Level,Hospital Admissions by Sex (weekly),2020-04-26,Female,0.4447
Hospital Data,Patient Level,Hospital Admissions by Sex (weekly),2020-04-26,Male,0.5553
Hospital Data,Patient Level,Hospital Admissions by Sex (weekly),2020-05-03,Female,0.4923
Hospital Data,Patient Level,Hospital Admissions by Sex (weekly),2020-05-03,Male,0.5077
Hospital Data,Patient Level,Hospital Admissions by Sex (weekly),2020-05-10,Female,0.4799
Hospital Data,Patient Level,Hospital Admissions by Sex (weekly),2020-05-10,Male,0.5201
Hospital Data,Patient Level,Hospital Admissions by Sex (weekly),2020-05-17,Female,0.5198
Hospital Data,Patient Level,Hospital Admissions by Sex (weekly),2020-05-17,Male,0.4802
Hospital Data,Patient Level,Hospital Admissions by Sex (weekly),2020-05-24,Female,0.4277
Hospital Data,Patient Level,Hospital Admissions by Sex (weekly),2020-05-24,Male,0.5723
Hospital Data,Patient Level,Hospital Admissions by Sex (weekly),2020-05-31,Female,0.5288
Hospital Data,Patient Level,Hospital Admissions by Sex (weekly),2020-05-31,Male,0.4712
Hospital Data,Patient Level,Hospital Admissions by Sex (weekly),2020-06-07,Female,0.5568
Hospital Data,Patient Level,Hospital Admissions by Sex (weekly),2020-06-07,Male,0.4432
Hospital Data,Patient Level,Hospital Admissions by Sex (weekly),2020-06-14,Female,0.5165
